Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C9",CL10A105KB8NNNC,6,1uF,C15849
C2,CL10A225KO8NNNC,1,2.2uF,C23630
"C3, C6, C7",CC0603KRX7R9BB104,3,100nF,C14663
"C4, C5",CC0603KRX7R9BB104,2,470nF,C1623
C8,CL21A106KAYNNNE,1,10uF,C15850
LED1,KT-0603R,1,Red,C2286
LED2,0603White_light_C2290,1,White,C2290
LED3,FC-1608YXK-585F08,1,Yellow,C89811
"PR1, PR2, PR3, PR4",PTFR0603B120KP9,4,120k 0.1%TF,C351687
"Q1, Q2",BSS138_C7420339,2,BSS138,C7420339
R1,0603WAF2201T5E,1,2.2k,C4190
"R10, R12, R13, R14, R15",R0603_part-C23345,5,22,C23345
"R11, R16, R17, R19, R21, R22, R23, R24, R25",0603WAF1002T5E,9,10k,C25804
"R18, R20, R5, R7",0603WAF5101T5E,4,5.1k,C23186
R2,0603WAF1001T5E,1,1k,C21190
R3,R0603_part-C21189_0-ohm,1,0 ohm,C21189
"R4, R6",R0603_part-C22859_10-ohm,2,10,C22859
R8,RLP25FEER100,1,100 mOhm Shunt,C160587
R9,0603WAF1000T5E,1,100,C22775
"SW2, SW3",TS-1187A-B-A-B,2,SW_Push_Dual,C318884
U1,TLV76733DGNR,1,TLV76733DGNR,C2873382
U2,INA226AIDGSR,1,INA226AIDGSR,C49851
U3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV clipped,1,GT-USB-7010ASV,C2988369
U4,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02U-N4,C2926676
"U5, U7",SRV05-4-P-T7,2,SRV05-4-P-T7,C85364
U6,ADS1115IRUGR,1,ADS1115IRUGR,C2651328
