Designator,Mid X,Mid Y,Rotation,Layer
C1,61.25,23.5,270.0,top
C10,19.75,23.5,0.0,top
C11,17.0,20.5,90.0,top
C12,19.75,17.5,0.0,top
C13,23.25,17.5,180.0,top
C2,50.75,23.5,270.0,top
C3,57.5,33.25,0.0,top
C4,56.5,45.25,180.0,top
C5,56.5,43.25,180.0,top
C6,59.5,36.5,90.0,top
C7,24.25,55.25,90.0,top
C8,22.0,55.75,90.0,top
C9,23.75,51.75,90.0,top
LED1,66.5,23.5,90.0,top
LED2,46.5,23.5,270.0,top
LED3,48.75,39.5,90.0,top
PR1,19.75,27.0,180.0,top
PR2,13.5,20.5,270.0,top
PR3,19.75,13.75,180.0,top
PR4,23.25,13.75,0.0,top
Q1,38.25,23.5,90.0,top
Q2,31.5,23.5,90.0,top
R1,66.5,27.0,270.0,top
R10,19.75,49.25,0.0,top
R11,23.75,43.0,270.0,top
R12,19.75,46.75,0.0,top
R13,19.75,44.0,180.0,top
R14,19.75,41.5,0.0,top
R15,19.75,38.75,180.0,top
R16,23.75,39.5,90.0,top
R17,20.5,51.75,90.0,top
R18,38.25,26.75,0.0,top
R19,38.25,20.5,180.0,top
R2,46.5,27.0,270.0,top
R20,31.5,26.75,0.0,top
R21,31.5,20.5,180.0,top
R22,19.75,25.25,180.0,top
R23,15.25,20.5,270.0,top
R24,19.75,15.5,180.0,top
R25,23.25,15.5,0.0,top
R3,59.25,44.5,270.0,top
R4,62.0,37.5,180.0,top
R5,63.0,45.0,180.0,top
R6,62.0,35.5,180.0,top
R7,63.0,58.0,180.0,top
R8,65.5,36.5,270.0,top
R9,48.75,42.75,270.0,top
SW2,28.5,36.0,0.0,top
SW3,41.25,36.0,0.0,top
U1,55.75,23.5,270.0,top
U2,54.5,35.7,270.0,top
U3,67.2,51.5,90.0,top
U4,35.0,46.5,0.0,top
U5,59.5,51.0,270.0,top
U6,21.25,20.5,180.0,top
U7,26.75,9.25,180.0,top
